OrderNumber,OrderDate,Ship Date,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Total Unit Cost,Total Revenue
SO - 0004357,2-Nov-17,20-Nov-17,43,Wholesale,GBP,AXW291,5,11,11,1152.4,737.536,12676.4
SO - 0004563,2-Nov-17,11-Nov-17,32,Distributor,NZD,AXW291,98,2,7,5339.9,2189.359,37379.3
SO - 0004824,2-Nov-17,14-Nov-17,14,Wholesale,NZD,AXW291,2,1,12,944.7,576.267,11336.4
SO - 0005745,2-Nov-17,12-Nov-17,11,Wholesale,USD,AXW291,34,11,10,710.2,497.14,7102
SO - 0006594,2-Nov-17,17-Nov-17,1,Distributor,USD,AXW291,22,2,12,3845.8,2076.732,46149.6
SO - 0007522,2-Nov-17,11-Nov-17,16,Wholesale,NZD,AXW291,49,11,11,1139,763.13,12529
SO - 0007832,2-Nov-17,10-Nov-17,2,Distributor,GBP,AXW291,66,13,11,1266.3,848.421,13929.3
SO - 000149,3-Nov-17,19-Nov-17,4,Export,USD,AXW291,14,5,6,2003.3,921.518,12019.8
SO - 0004042,3-Nov-17,18-Nov-17,39,Export,AUD,AXW291,91,1,7,1145.7,801.99,8019.9
SO - 0005626,3-Nov-17,6-Nov-17,27,Wholesale,EUR,AXW291,41,14,6,187.6,93.8,1125.6
SO - 0006690,3-Nov-17,9-Nov-17,31,Wholesale,USD,AXW291,17,2,6,1112.2,700.686,6673.2
SO - 0001137,4-Nov-17,16-Nov-17,19,Distributor,USD,AXW291,9,7,9,3986.5,3268.93,35878.5
SO - 0001594,4-Nov-17,12-Nov-17,44,Wholesale,AUD,AXW291,89,10,8,167.5,73.7,1340
SO - 0004508,4-Nov-17,18-Nov-17,33,Distributor,EUR,AXW291,25,5,5,6545.9,2749.278,32729.5
SO - 0005383,4-Nov-17,11-Nov-17,45,Wholesale,EUR,AXW291,54,9,7,877.7,526.62,6143.9
SO - 0006716,4-Nov-17,12-Nov-17,50,Distributor,EUR,AXW291,54,9,8,207.7,93.465,1661.6
SO - 0007178,4-Nov-17,9-Nov-17,8,Wholesale,NZD,AXW291,17,1,12,1058.6,508.128,12703.2
SO - 0001469,5-Nov-17,19-Nov-17,39,Wholesale,USD,AXW291,80,7,8,2532.6,1899.45,20260.8
SO - 0001607,5-Nov-17,17-Nov-17,44,Wholesale,USD,AXW291,100,13,9,2666.6,1999.95,23999.4
SO - 0002362,5-Nov-17,13-Nov-17,25,Wholesale,AUD,AXW291,6,10,8,3919.5,3292.38,31356
SO - 0004841,5-Nov-17,15-Nov-17,13,Wholesale,GBP,AXW291,9,7,8,3845.8,2384.396,30766.4
SO - 0005721,5-Nov-17,18-Nov-17,25,Wholesale,NZD,AXW291,83,7,12,4006.6,3125.148,48079.2
SO - 0005983,5-Nov-17,21-Nov-17,18,Distributor,NZD,AXW291,78,7,8,167.5,70.35,1340
SO - 0006268,5-Nov-17,18-Nov-17,15,Export,NZD,AXW291,34,7,8,1025.1,656.064,8200.8
SO - 000843,6-Nov-17,12-Nov-17,1,Wholesale,NZD,AXW291,65,11,10,964.8,665.712,9648
SO - 0001332,6-Nov-17,11-Nov-17,3,Distributor,USD,AXW291,17,1,11,1949.7,1559.76,21446.7
SO - 0001730,6-Nov-17,24-Nov-17,47,Wholesale,USD,AXW291,99,2,5,1031.8,773.85,5159
SO - 0005332,6-Nov-17,21-Nov-17,20,Distributor,AUD,AXW291,33,5,5,3323.2,1860.992,16616
SO - 0005620,6-Nov-17,23-Nov-17,44,Distributor,USD,AXW291,8,8,5,1286.4,630.336,6432
SO - 0007036,6-Nov-17,20-Nov-17,1,Export,NZD,AXW291,91,13,7,1889.4,831.336,13225.8
SO - 0007443,6-Nov-17,22-Nov-17,29,Wholesale,AUD,AXW291,87,11,5,2800.6,2380.51,14003
SO - 000515,7-Nov-17,11-Nov-17,6,Wholesale,NZD,AXW291,61,7,7,1829.1,1463.28,12803.7
SO - 0002202,7-Nov-17,23-Nov-17,8,Wholesale,NZD,AXW291,70,2,9,3879.3,2056.029,34913.7
SO - 0002495,7-Nov-17,22-Nov-17,39,Wholesale,USD,AXW291,97,2,5,1748.7,1381.473,8743.5
SO - 0003832,7-Nov-17,25-Nov-17,31,Wholesale,EUR,AXW291,24,2,11,1815.7,980.478,19972.7
SO - 0005707,7-Nov-17,13-Nov-17,41,Wholesale,EUR,AXW291,6,5,6,5165.7,2737.821,30994.2
SO - 0007497,7-Nov-17,17-Nov-17,47,Wholesale,USD,AXW291,92,1,6,4020,2653.2,24120
SO - 0007980,7-Nov-17,24-Nov-17,13,Distributor,NZD,AXW291,85,2,12,3597.9,1726.992,43174.8
SO - 000104,8-Nov-17,26-Nov-17,48,Export,USD,AXW291,19,7,6,2324.9,1464.687,13949.4
SO - 000175,8-Nov-17,11-Nov-17,1,Wholesale,NZD,AXW291,72,7,11,2224.4,1579.324,24468.4
SO - 0002858,8-Nov-17,18-Nov-17,37,Wholesale,AUD,AXW291,67,12,8,201,104.52,1608
SO - 0004288,8-Nov-17,19-Nov-17,38,Export,GBP,AXW291,63,11,5,221.1,152.559,1105.5
SO - 0005962,8-Nov-17,19-Nov-17,6,Wholesale,AUD,AXW291,3,11,9,5594.5,4083.985,50350.5
SO - 0007019,8-Nov-17,25-Nov-17,42,Wholesale,NZD,AXW291,97,11,6,964.8,578.88,5788.8
SO - 000566,9-Nov-17,18-Nov-17,5,Wholesale,USD,AXW291,91,7,8,1996.6,898.47,15972.8
SO - 0002211,9-Nov-17,17-Nov-17,11,Wholesale,NZD,AXW291,24,7,9,2010,1386.9,18090
SO - 0002474,9-Nov-17,12-Nov-17,17,Wholesale,GBP,AXW291,50,14,5,1762.1,1215.849,8810.5
SO - 0002683,9-Nov-17,24-Nov-17,18,Export,USD,AXW291,88,2,12,2914.5,1311.525,34974
SO - 0003605,9-Nov-17,21-Nov-17,9,Wholesale,NZD,AXW291,46,1,11,884.4,742.896,9728.4
SO - 0003703,9-Nov-17,15-Nov-17,44,Wholesale,NZD,AXW291,100,2,8,247.9,168.572,1983.2
SO - 0004590,9-Nov-17,21-Nov-17,20,Distributor,EUR,AXW291,23,1,10,871,688.09,8710
SO - 0005965,9-Nov-17,23-Nov-17,37,Export,GBP,AXW291,88,14,6,1748.7,944.298,10492.2
SO - 0006136,9-Nov-17,12-Nov-17,4,Wholesale,NZD,AXW291,11,1,11,3865.9,2087.586,42524.9
SO - 0007778,9-Nov-17,23-Nov-17,2,Distributor,NZD,AXW291,36,9,12,5266.2,2211.804,63194.4
SO - 0007798,9-Nov-17,22-Nov-17,31,Distributor,USD,AXW291,45,8,11,1085.4,510.138,11939.4
SO - 000901,10-Nov-17,26-Nov-17,26,Distributor,AUD,AXW291,62,5,8,1118.9,469.938,8951.2
SO - 0002794,10-Nov-17,18-Nov-17,11,Distributor,USD,AXW291,94,1,9,247.9,99.16,2231.1
SO - 0005106,10-Nov-17,18-Nov-17,10,Export,NZD,AXW291,91,10,10,2680,1795.6,26800
SO - 0002966,11-Nov-17,28-Nov-17,29,Wholesale,NZD,AXW291,90,2,5,1078.7,755.09,5393.5
SO - 0004629,11-Nov-17,25-Nov-17,49,Wholesale,NZD,AXW291,16,2,11,810.7,680.988,8917.7
SO - 0004803,11-Nov-17,14-Nov-17,28,Wholesale,GBP,AXW291,88,2,8,2432.1,1507.902,19456.8
SO - 0005296,11-Nov-17,16-Nov-17,24,Wholesale,NZD,AXW291,69,14,7,1005,713.55,7035
SO - 0006082,11-Nov-17,16-Nov-17,25,Distributor,USD,AXW291,9,1,9,1092.1,578.813,9828.9
SO - 0006776,11-Nov-17,24-Nov-17,45,Wholesale,USD,AXW291,31,9,7,214.4,96.48,1500.8
SO - 000318,12-Nov-17,16-Nov-17,22,Distributor,NZD,AXW291,53,5,8,3852.5,2003.3,30820
SO - 000660,12-Nov-17,28-Nov-17,32,Wholesale,AUD,AXW291,64,5,5,3725.2,2570.388,18626
SO - 0003382,12-Nov-17,24-Nov-17,35,Wholesale,NZD,AXW291,71,1,12,1038.5,778.875,12462
SO - 0004192,12-Nov-17,21-Nov-17,34,Wholesale,AUD,AXW291,30,1,11,1011.7,485.616,11128.7
SO - 0005446,12-Nov-17,25-Nov-17,36,Wholesale,USD,AXW291,30,1,10,1132.3,905.84,11323
SO - 0005621,12-Nov-17,17-Nov-17,16,Distributor,NZD,AXW291,42,2,11,6023.3,3915.145,66256.3
SO - 0001200,13-Nov-17,19-Nov-17,32,Wholesale,NZD,AXW291,36,2,12,1306.5,888.42,15678
SO - 0001216,13-Nov-17,29-Nov-17,21,Distributor,USD,AXW291,64,7,8,1118.9,581.828,8951.2
SO - 0003243,13-Nov-17,22-Nov-17,2,Wholesale,USD,AXW291,66,11,6,1105.5,740.685,6633
SO - 0006110,13-Nov-17,28-Nov-17,10,Wholesale,NZD,AXW291,40,5,8,234.5,154.77,1876
SO - 000594,14-Nov-17,1-Dec-17,35,Export,NZD,AXW291,48,4,10,201,96.48,2010
SO - 0006299,14-Nov-17,27-Nov-17,28,Distributor,EUR,AXW291,32,1,6,3705.1,2482.417,22230.6
SO - 0006318,14-Nov-17,27-Nov-17,43,Wholesale,AUD,AXW291,76,1,7,737,574.86,5159
SO - 000151,15-Nov-17,19-Nov-17,19,Export,EUR,AXW291,94,5,6,2278,1822.4,13668
SO - 000570,15-Nov-17,1-Dec-17,8,Distributor,USD,AXW291,57,7,11,167.5,125.625,1842.5
SO - 0001890,15-Nov-17,3-Dec-17,33,Wholesale,AUD,AXW291,13,5,6,1936.3,1490.951,11617.8
SO - 0005059,15-Nov-17,22-Nov-17,11,Wholesale,NZD,AXW291,26,7,8,6090.3,2618.829,48722.4
SO - 0005289,15-Nov-17,29-Nov-17,43,Distributor,USD,AXW291,88,11,5,1038.5,830.8,5192.5
SO - 0005486,15-Nov-17,24-Nov-17,30,Wholesale,GBP,AXW291,66,11,6,2606.3,1485.591,15637.8
SO - 000262,16-Nov-17,28-Nov-17,31,Wholesale,NZD,AXW291,35,7,8,1105.5,652.245,8844
SO - 0003593,16-Nov-17,29-Nov-17,42,Wholesale,USD,AXW291,39,11,5,3926.2,2866.126,19631
SO - 0004478,16-Nov-17,27-Nov-17,1,Wholesale,GBP,AXW291,35,13,8,750.4,637.84,6003.2
SO - 0007090,16-Nov-17,24-Nov-17,50,Export,USD,AXW291,96,13,5,2345,1172.5,11725
SO - 0007300,16-Nov-17,26-Nov-17,26,Wholesale,AUD,AXW291,63,10,12,2539.3,1244.257,30471.6
SO - 000126,17-Nov-17,29-Nov-17,46,Wholesale,USD,AXW291,29,7,11,174.2,95.81,1916.2
SO - 000891,17-Nov-17,23-Nov-17,21,Export,AUD,AXW291,72,1,6,1829.1,987.714,10974.6
SO - 0001254,17-Nov-17,27-Nov-17,22,Distributor,NZD,AXW291,86,9,12,1916.2,823.966,22994.4
SO - 0001444,17-Nov-17,30-Nov-17,24,Distributor,NZD,AXW291,10,11,11,1085.4,596.97,11939.4
SO - 0002625,17-Nov-17,23-Nov-17,22,Export,EUR,AXW291,59,5,6,1072,503.84,6432
SO - 0004107,17-Nov-17,27-Nov-17,40,Distributor,USD,AXW291,94,7,12,4020,2653.2,48240
SO - 0004514,17-Nov-17,25-Nov-17,26,Wholesale,USD,AXW291,12,2,11,2539.3,2082.226,27932.3
SO - 0004577,17-Nov-17,26-Nov-17,46,Wholesale,NZD,AXW291,81,7,7,1715.2,943.36,12006.4
SO - 0005251,17-Nov-17,21-Nov-17,1,Export,USD,AXW291,22,1,5,837.5,502.5,4187.5
SO - 0005445,17-Nov-17,5-Dec-17,34,Export,NZD,AXW291,100,1,5,2599.6,1039.84,12998
SO - 0007284,17-Nov-17,5-Dec-17,28,Export,AUD,AXW291,32,5,7,1152.4,898.872,8066.8
SO - 0001739,18-Nov-17,25-Nov-17,8,Wholesale,USD,AXW291,34,7,11,2633.1,2238.135,28964.1
SO - 0002475,18-Nov-17,1-Dec-17,36,Distributor,EUR,AXW291,52,2,9,5628,4333.56,50652
SO - 0004141,18-Nov-17,30-Nov-17,36,Export,AUD,AXW291,72,14,7,6485.6,2723.952,45399.2
SO - 0005299,18-Nov-17,30-Nov-17,8,Distributor,GBP,AXW291,56,7,7,5909.4,4432.05,41365.8
SO - 0006346,18-Nov-17,30-Nov-17,46,Export,USD,AXW291,68,2,10,1185.9,640.386,11859
SO - 0007466,18-Nov-17,5-Dec-17,4,Export,USD,AXW291,54,2,7,3296.4,2340.444,23074.8
SO - 0007866,18-Nov-17,28-Nov-17,29,Wholesale,NZD,AXW291,76,13,7,3993.2,3114.696,27952.4
SO - 000749,19-Nov-17,27-Nov-17,3,Distributor,NZD,AXW291,42,5,5,1125.6,529.032,5628
SO - 000995,19-Nov-17,22-Nov-17,44,Wholesale,NZD,AXW291,42,5,7,1098.8,604.34,7691.6
SO - 0001487,19-Nov-17,24-Nov-17,8,Distributor,EUR,AXW291,62,7,12,1031.8,815.122,12381.6
SO - 0002008,19-Nov-17,28-Nov-17,27,Distributor,GBP,AXW291,88,5,9,783.9,470.34,7055.1
SO - 0002895,19-Nov-17,2-Dec-17,38,Wholesale,AUD,AXW291,17,2,6,241.2,115.776,1447.2
SO - 0005698,19-Nov-17,23-Nov-17,50,Distributor,NZD,AXW291,7,2,11,207.7,114.235,2284.7
SO - 000153,20-Nov-17,3-Dec-17,8,Wholesale,NZD,AXW291,25,7,11,3926.2,3062.436,43188.2
SO - 0001538,20-Nov-17,7-Dec-17,9,Export,USD,AXW291,48,1,6,3993.2,3354.288,23959.2
SO - 0005600,20-Nov-17,27-Nov-17,48,Wholesale,USD,AXW291,19,1,7,971.5,505.18,6800.5
SO - 0006270,20-Nov-17,4-Dec-17,46,Wholesale,NZD,AXW291,78,14,7,1031.8,474.628,7222.6
SO - 0007209,20-Nov-17,30-Nov-17,37,Wholesale,NZD,AXW291,9,2,10,2499.1,2099.244,24991
SO - 0007721,20-Nov-17,29-Nov-17,37,Distributor,EUR,AXW291,34,9,9,2452.2,1716.54,22069.8
SO - 0007922,20-Nov-17,5-Dec-17,12,Wholesale,NZD,AXW291,72,10,12,1078.7,744.303,12944.4
SO - 000105,21-Nov-17,6-Dec-17,49,Wholesale,USD,AXW291,15,7,6,1822.4,1476.144,10934.4
SO - 0005152,21-Nov-17,2-Dec-17,38,Wholesale,NZD,AXW291,36,7,5,1782.2,1354.472,8911
SO - 0005634,21-Nov-17,8-Dec-17,46,Distributor,NZD,AXW291,63,7,6,3872.6,1703.944,23235.6
SO - 0006137,21-Nov-17,3-Dec-17,29,Export,AUD,AXW291,78,2,5,2666.6,1093.306,13333
SO - 0007655,21-Nov-17,1-Dec-17,30,Wholesale,NZD,AXW291,43,7,11,1025.1,871.335,11276.1
SO - 0007850,21-Nov-17,3-Dec-17,12,Distributor,USD,AXW291,39,9,10,2304.8,1405.928,23048
SO - 0007879,21-Nov-17,7-Dec-17,50,Wholesale,AUD,AXW291,20,1,8,3999.9,2759.931,31999.2
SO - 000317,22-Nov-17,25-Nov-17,18,Distributor,AUD,AXW291,38,7,6,2881,1584.55,17286
SO - 0005094,22-Nov-17,7-Dec-17,6,Distributor,NZD,AXW291,89,7,9,1005,673.35,9045
SO - 0005671,22-Nov-17,7-Dec-17,15,Wholesale,AUD,AXW291,42,7,12,1319.9,1042.721,15838.8
SO - 0007028,22-Nov-17,28-Nov-17,44,Distributor,NZD,AXW291,9,7,12,3993.2,3034.832,47918.4
SO - 0007058,22-Nov-17,3-Dec-17,10,Wholesale,GBP,AXW291,99,4,11,1031.8,567.49,11349.8
SO - 0007415,22-Nov-17,30-Nov-17,28,Wholesale,AUD,AXW291,46,2,5,1132.3,826.579,5661.5
SO - 0008074,22-Nov-17,2-Dec-17,33,Export,USD,AXW291,74,7,6,6545.9,5498.556,39275.4
SO - 0001290,23-Nov-17,27-Nov-17,30,Distributor,USD,AXW291,29,13,9,891.1,650.503,8019.9
SO - 0003184,23-Nov-17,3-Dec-17,29,Export,NZD,AXW291,22,2,7,1943,1398.96,13601
SO - 0003573,23-Nov-17,7-Dec-17,41,Wholesale,AUD,AXW291,62,9,9,857.6,428.8,7718.4
SO - 0004003,23-Nov-17,26-Nov-17,25,Distributor,USD,AXW291,97,5,12,2572.8,1183.488,30873.6
SO - 0005366,23-Nov-17,9-Dec-17,16,Wholesale,EUR,AXW291,73,5,12,6559.3,3279.65,78711.6
SO - 0007572,23-Nov-17,2-Dec-17,23,Wholesale,AUD,AXW291,78,11,12,1065.3,458.079,12783.6
SO - 0001836,24-Nov-17,9-Dec-17,12,Export,NZD,AXW291,55,2,8,857.6,626.048,6860.8
SO - 0003557,24-Nov-17,4-Dec-17,14,Distributor,AUD,AXW291,64,2,8,1078.7,679.581,8629.6
SO - 0004309,24-Nov-17,28-Nov-17,9,Export,NZD,AXW291,60,11,11,1025.1,738.072,11276.1
SO - 0004486,24-Nov-17,4-Dec-17,45,Distributor,NZD,AXW291,69,1,11,2519.2,1889.4,27711.2
SO - 0004728,24-Nov-17,2-Dec-17,42,Distributor,NZD,AXW291,49,11,10,1118.9,760.852,11189
SO - 0005247,24-Nov-17,2-Dec-17,17,Wholesale,AUD,AXW291,7,11,12,1728.6,1019.874,20743.2
SO - 0001725,25-Nov-17,9-Dec-17,50,Wholesale,NZD,AXW291,83,14,8,6525.8,2806.094,52206.4
SO - 0002893,25-Nov-17,6-Dec-17,6,Wholesale,EUR,AXW291,73,13,9,1688.4,861.084,15195.6
SO - 0003701,25-Nov-17,2-Dec-17,31,Wholesale,USD,AXW291,43,2,10,234.5,136.01,2345
SO - 0007206,25-Nov-17,30-Nov-17,41,Wholesale,USD,AXW291,36,12,12,1159.1,579.55,13909.2
SO - 0007607,25-Nov-17,1-Dec-17,30,Distributor,NZD,AXW291,87,11,11,2860.9,1316.014,31469.9
SO - 0007999,25-Nov-17,30-Nov-17,35,Distributor,AUD,AXW291,13,13,11,777.2,606.216,8549.2
SO - 0008090,25-Nov-17,9-Dec-17,42,Wholesale,USD,AXW291,96,1,10,1072,804,10720
SO - 000744,26-Nov-17,5-Dec-17,22,Export,NZD,AXW291,81,2,9,5246.1,3882.114,47214.9
SO - 0002470,26-Nov-17,10-Dec-17,24,Distributor,NZD,AXW291,67,7,6,1748.7,786.915,10492.2
SO - 0003265,26-Nov-17,2-Dec-17,45,Wholesale,NZD,AXW291,55,7,8,3973.1,1708.433,31784.8
SO - 0003421,26-Nov-17,12-Dec-17,14,Wholesale,USD,AXW291,43,13,11,2485.7,1640.562,27342.7
SO - 0005151,26-Nov-17,8-Dec-17,34,Distributor,NZD,AXW291,42,1,6,857.6,531.712,5145.6
SO - 0005416,26-Nov-17,8-Dec-17,30,Wholesale,USD,AXW291,1,11,12,1038.5,519.25,12462
SO - 0006046,26-Nov-17,1-Dec-17,48,Wholesale,USD,AXW291,27,7,5,1835.8,1542.072,9179
SO - 0007584,26-Nov-17,4-Dec-17,42,Distributor,USD,AXW291,34,7,8,1788.9,966.006,14311.2
SO - 0007754,26-Nov-17,6-Dec-17,50,Distributor,USD,AXW291,78,13,9,3999.9,2719.932,35999.1
SO - 0001139,27-Nov-17,12-Dec-17,37,Wholesale,AUD,AXW291,95,11,9,221.1,141.504,1989.9
SO - 0001951,27-Nov-17,2-Dec-17,38,Wholesale,NZD,AXW291,62,6,10,6197.5,3594.55,61975
SO - 0004715,27-Nov-17,13-Dec-17,32,Wholesale,USD,AXW291,96,3,10,234.5,119.595,2345
SO - 000700,28-Nov-17,1-Dec-17,4,Distributor,NZD,AXW291,10,5,10,944.7,462.903,9447
SO - 0001659,28-Nov-17,12-Dec-17,47,Distributor,NZD,AXW291,65,7,10,2291.4,1191.528,22914
SO - 0003579,28-Nov-17,4-Dec-17,32,Wholesale,GBP,AXW291,74,1,11,1092.1,928.285,12013.1
SO - 0004019,28-Nov-17,1-Dec-17,19,Wholesale,NZD,AXW291,25,7,5,850.9,570.103,4254.5
SO - 0005412,28-Nov-17,12-Dec-17,21,Export,NZD,AXW291,59,1,7,757.1,499.686,5299.7
SO - 0007050,28-Nov-17,13-Dec-17,8,Wholesale,NZD,AXW291,34,11,9,254.6,152.76,2291.4
SO - 0007756,28-Nov-17,2-Dec-17,30,Wholesale,AUD,AXW291,45,1,7,703.5,323.61,4924.5
SO - 0001109,29-Nov-17,15-Dec-17,12,Distributor,USD,AXW291,99,4,11,1072,707.52,11792
SO - 0003045,29-Nov-17,13-Dec-17,27,Distributor,AUD,AXW291,98,9,10,194.3,101.036,1943
SO - 0003921,29-Nov-17,5-Dec-17,46,Wholesale,GBP,AXW291,62,7,9,1118.9,648.962,10070.1
SO - 0005889,29-Nov-17,11-Dec-17,31,Wholesale,USD,AXW291,54,5,12,2532.6,1696.842,30391.2
SO - 0007370,29-Nov-17,3-Dec-17,28,Distributor,USD,AXW291,16,1,5,3859.2,2469.888,19296
SO - 0007780,29-Nov-17,17-Dec-17,40,Wholesale,NZD,AXW291,38,7,10,3966.4,2181.52,39664
SO - 000572,30-Nov-17,12-Dec-17,28,Wholesale,USD,AXW291,96,6,7,2546,1018.4,17822
SO - 0001412,30-Nov-17,5-Dec-17,7,Distributor,USD,AXW291,18,11,10,261.3,143.715,2613
SO - 0005796,30-Nov-17,7-Dec-17,49,Wholesale,AUD,AXW291,59,2,10,1051.9,788.925,10519
SO - 0005964,30-Nov-17,5-Dec-17,3,Wholesale,NZD,AXW291,36,11,8,5688.3,2673.501,45506.4
SO - 0007871,30-Nov-17,17-Dec-17,46,Wholesale,NZD,AXW291,46,2,12,1058.6,846.88,12703.2
SO - 000569,1-Dec-17,8-Dec-17,1,Distributor,EUR,AXW291,60,5,5,207.7,87.234,1038.5
SO - 0001922,1-Dec-17,18-Dec-17,36,Wholesale,NZD,AXW291,84,11,6,221.1,159.192,1326.6
SO - 0004114,1-Dec-17,11-Dec-17,35,Distributor,AUD,AXW291,28,1,6,1319.9,950.328,7919.4
SO - 0007341,1-Dec-17,14-Dec-17,50,Distributor,USD,AXW291,87,13,11,2291.4,1214.442,25205.4
SO - 000628,2-Dec-17,16-Dec-17,41,Distributor,USD,AXW291,9,1,9,241.2,180.9,2170.8
SO - 000853,2-Dec-17,5-Dec-17,17,Wholesale,AUD,AXW291,38,5,7,2532.6,1595.538,17728.2
SO - 0001099,2-Dec-17,12-Dec-17,3,Wholesale,USD,AXW291,84,7,8,6150.6,3505.842,49204.8
SO - 0001990,2-Dec-17,6-Dec-17,23,Distributor,NZD,AXW291,88,11,6,3202.6,1473.196,19215.6
SO - 0002950,2-Dec-17,19-Dec-17,34,Wholesale,NZD,AXW291,19,11,11,3865.9,1932.95,42524.9
SO - 0003876,2-Dec-17,18-Dec-17,36,Distributor,NZD,AXW291,92,13,8,1159.1,544.777,9272.8
SO - 0004239,2-Dec-17,14-Dec-17,7,Export,AUD,AXW291,95,7,7,3095.4,2166.78,21667.8
SO - 000463,3-Dec-17,19-Dec-17,1,Distributor,NZD,AXW291,61,13,10,1815.7,944.164,18157
SO - 0001257,3-Dec-17,19-Dec-17,3,Distributor,EUR,AXW291,12,7,11,6016.6,4392.118,66182.6
SO - 0002216,3-Dec-17,13-Dec-17,4,Distributor,NZD,AXW291,10,2,11,984.9,492.45,10833.9
SO - 0002846,3-Dec-17,6-Dec-17,45,Wholesale,NZD,AXW291,78,5,9,3865.9,2628.812,34793.1
SO - 0003405,3-Dec-17,20-Dec-17,8,Wholesale,NZD,AXW291,35,7,10,5721.8,3719.17,57218
SO - 0004302,3-Dec-17,16-Dec-17,41,Wholesale,AUD,AXW291,51,7,5,1011.7,455.265,5058.5
SO - 0006068,3-Dec-17,6-Dec-17,48,Wholesale,EUR,AXW291,34,5,7,2458.9,1303.217,17212.3
SO - 0006814,3-Dec-17,14-Dec-17,26,Wholesale,NZD,AXW291,8,5,12,187.6,155.708,2251.2
SO - 000899,4-Dec-17,22-Dec-17,26,Distributor,NZD,AXW291,64,5,10,1031.8,474.628,10318
SO - 0004015,4-Dec-17,11-Dec-17,17,Export,AUD,AXW291,34,1,12,2412,1616.04,28944
SO - 0004235,4-Dec-17,20-Dec-17,31,Wholesale,NZD,AXW291,2,7,9,4006.6,1802.97,36059.4
SO - 0005905,4-Dec-17,9-Dec-17,40,Distributor,USD,AXW291,78,2,8,1011.7,576.669,8093.6
SO - 0007013,4-Dec-17,13-Dec-17,35,Wholesale,AUD,AXW291,48,7,7,737,368.5,5159
SO - 0007990,4-Dec-17,17-Dec-17,47,Wholesale,NZD,AXW291,13,2,8,3993.2,2395.92,31945.6
SO - 0008006,4-Dec-17,18-Dec-17,29,Wholesale,NZD,AXW291,86,2,6,3825.7,3251.845,22954.2
SO - 000666,5-Dec-17,11-Dec-17,22,Wholesale,NZD,AXW291,84,2,11,5782.1,4394.396,63603.1
SO - 000937,5-Dec-17,18-Dec-17,31,Distributor,AUD,AXW291,90,7,7,3946.3,1973.15,27624.1
SO - 0001525,5-Dec-17,13-Dec-17,17,Distributor,GBP,AXW291,45,11,6,2438.8,1999.816,14632.8
SO - 0002075,5-Dec-17,11-Dec-17,27,Distributor,AUD,AXW291,53,10,5,991.6,743.7,4958
SO - 0002482,5-Dec-17,12-Dec-17,10,Distributor,NZD,AXW291,25,1,10,911.2,564.944,9112
SO - 0003196,5-Dec-17,10-Dec-17,36,Distributor,NZD,AXW291,64,5,5,3959.7,2811.387,19798.5
SO - 0003492,5-Dec-17,16-Dec-17,47,Wholesale,AUD,AXW291,53,11,7,1748.7,804.402,12240.9
SO - 0004638,5-Dec-17,9-Dec-17,45,Distributor,NZD,AXW291,58,13,12,1132.3,792.61,13587.6
SO - 0006222,5-Dec-17,12-Dec-17,21,Export,NZD,AXW291,44,12,12,3912.8,1995.528,46953.6
SO - 0006747,5-Dec-17,15-Dec-17,5,Export,NZD,AXW291,27,2,11,2505.8,1002.32,27563.8
SO - 0007154,5-Dec-17,17-Dec-17,14,Wholesale,USD,AXW291,30,9,10,6070.2,2974.398,60702
SO - 0001153,6-Dec-17,16-Dec-17,26,Wholesale,USD,AXW291,57,2,6,5715.1,4343.476,34290.6
SO - 0002316,6-Dec-17,12-Dec-17,43,Wholesale,NZD,AXW291,82,2,11,3611.3,2780.701,39724.3
SO - 0003335,6-Dec-17,22-Dec-17,19,Wholesale,NZD,AXW291,36,7,5,194.3,118.523,971.5
SO - 0003339,6-Dec-17,16-Dec-17,36,Wholesale,NZD,AXW291,55,2,8,2237.8,1297.924,17902.4
SO - 0004398,6-Dec-17,12-Dec-17,1,Distributor,USD,AXW291,44,7,10,3959.7,1940.253,39597
SO - 0004940,6-Dec-17,16-Dec-17,4,Distributor,NZD,AXW291,60,11,11,3906.1,2226.477,42967.1
SO - 0005575,6-Dec-17,18-Dec-17,38,Wholesale,AUD,AXW291,8,11,9,1842.5,1068.65,16582.5
SO - 0001470,7-Dec-17,23-Dec-17,23,Distributor,NZD,AXW291,39,10,9,958.1,785.642,8622.9
SO - 0001747,7-Dec-17,12-Dec-17,20,Distributor,EUR,AXW291,17,5,11,2847.5,1708.5,31322.5
SO - 0002390,7-Dec-17,24-Dec-17,49,Wholesale,NZD,AXW291,91,5,8,1159.1,857.734,9272.8
SO - 0003306,7-Dec-17,19-Dec-17,48,Wholesale,USD,AXW291,90,7,6,3899.4,3314.49,23396.4
SO - 0004594,7-Dec-17,20-Dec-17,36,Wholesale,USD,AXW291,95,2,9,268,147.4,2412
SO - 0006604,7-Dec-17,10-Dec-17,25,Wholesale,USD,AXW291,67,5,12,1943,1632.12,23316
SO - 0002680,8-Dec-17,26-Dec-17,38,Distributor,EUR,AXW291,7,11,5,5266.2,2369.79,26331
SO - 0003717,8-Dec-17,15-Dec-17,7,Export,EUR,AXW291,64,11,8,1045.2,533.052,8361.6
